turn,player,move,board,winner
10,White,75,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', 'White', '.', 'White', 'Black', 'Black', '.', '?', '?', '.', '.', '.', '.', 'White', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
11,Black,64,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', 'Black', '.', '.', '?', '?', '.', '.', 'White', 'Black', 'Black', 'Black', 'Black', '.', '?', '?', '.', '.', '.', '.', 'White', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
12,White,68,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', 'Black', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '.', '.', '.', '.', 'White', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
13,Black,77,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', 'Black', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'Black', 'White', 'White', '?', '?', '.', '.', '.', '.', 'White', 'Black', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
14,White,88,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '.', '.', '.', '.', 'White', 'Black', 'White', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
15,Black,72,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', 'Black', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', 'Black', '.', '.', '?', '?', '.', '.', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', '.', 'Black', '.', '.', 'White', 'Black', 'White', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
16,White,26,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', 'White', '.', '.', '?', '?', '.', '.', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', '.', 'Black', '.', '.', 'White', 'Black', 'White', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
17,Black,57,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'Black', 'Black', 'Black', '.', '?', '?', '.', '.', 'Black', 'White', 'White', 'White', 'Black', 'White', '?', '?', '.', 'Black', '.', '.', 'White', 'Black', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
18,White,81,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', 'Black', 'Black', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'White', 'Black', 'White', '?', '?', '.', 'White', '.', '.', 'White', 'Black', 'Black', '.', '?', '?', 'White', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
19,Black,74,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', 'Black', 'Black', '.', '?', '?', '.', '.', 'White', 'White', 'Black', 'White', 'Black', 'White', '?', '?', '.', 'White', '.', 'Black', 'Black', 'Black', 'Black', '.', '?', '?', 'White', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
