turn,player,move,board,winner
0,,,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
1,Black,43,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
2,White,33,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
3,Black,34,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'Black', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
4,White,53,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'Black', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
5,Black,66,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'Black', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
6,White,24,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'White', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
7,Black,63,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'White', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', 'White', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', 'Black', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
8,White,65,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'White', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', 'Black', '.', 'White', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
9,Black,52,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'White', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'Black', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', 'Black', '.', 'White', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
