turn,player,move,board,winner
0,,,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
1,Black,34,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
2,White,33,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'Black', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
3,Black,43,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'Black', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
4,White,53,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'Black', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
5,Black,66,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'Black', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
6,White,35,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
7,Black,42,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
8,White,77,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'White', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
9,Black,65,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', 'White', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'Black', 'White', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'White', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
10,White,41,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', 'White', 'White', 'White', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', 'White', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'Black', 'White', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'White', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
11,Black,88,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', 'White', 'White', 'White', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', 'White', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'Black', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
12,White,64,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', 'White', 'White', 'White', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
13,Black,73,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', 'White', 'White', 'White', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'Black', 'Black', '.', '.', '?', '?', '.', '.', 'Black', '.', '.', '.', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
14,White,75,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', 'White', 'White', 'White', 'White', 'White', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', 'Black', '.', 'White', '.', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
15,Black,84,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', 'White', 'White', 'White', 'White', 'White', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', 'Black', '.', 'Black', '.', 'Black', '.', '?', '?', '.', '.', '.', 'Black', '.', '.', '.', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
16,White,86,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', 'White', 'White', 'White', 'White', 'White', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', 'Black', '.', 'White', '.', 'Black', '.', '?', '?', '.', '.', '.', 'Black', '.', 'White', '.', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
17,Black,22,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', 'Black', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', 'White', 'White', '.', '.', '.', '?', '?', 'White', 'White', 'White', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', 'Black', '.', 'White', '.', 'Black', '.', '?', '?', '.', '.', '.', 'Black', '.', 'White', '.', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
18,White,56,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', 'Black', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', 'White', 'White', '.', '.', '.', '?', '?', 'White', 'White', 'White', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', 'Black', '.', 'White', '.', 'Black', '.', '?', '?', '.', '.', '.', 'Black', '.', 'White', '.', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
19,Black,62,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', 'Black', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', 'White', 'White', '.', '.', '.', '?', '?', 'White', 'White', 'White', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', 'Black', 'White', 'White', 'White', '.', '.', '?', '?', '.', 'Black', '.', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', 'Black', '.', 'White', '.', 'Black', '.', '?', '?', '.', '.', '.', 'Black', '.', 'White', '.', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
20,White,63,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', 'Black', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', 'White', 'White', '.', '.', '.', '?', '?', 'White', 'White', 'White', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'White', '.', '.', '?', '?', '.', 'Black', 'White', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', 'Black', '.', 'White', '.', 'Black', '.', '?', '?', '.', '.', '.', 'Black', '.', 'White', '.', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
21,Black,51,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', 'Black', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', 'White', 'White', '.', '.', '.', '?', '?', 'White', 'Black', 'White', 'Black', 'White', '.', '.', '.', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', '.', '.', '?', '?', '.', 'Black', 'White', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', 'Black', '.', 'White', '.', 'Black', '.', '?', '?', '.', '.', '.', 'Black', '.', 'White', '.', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
22,White,31,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', 'Black', '.', '.', '.', '.', '.', '.', '?', '?', 'White', '.', 'Black', 'White', 'White', '.', '.', '.', '?', '?', 'White', 'White', 'White', 'Black', 'White', '.', '.', '.', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', '.', '.', '?', '?', '.', 'Black', 'White', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', 'Black', '.', 'White', '.', 'Black', '.', '?', '?', '.', '.', '.', 'Black', '.', 'White', '.', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
23,Black,21,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', 'Black', 'Black', '.', '.', '.', '.', '.', '.', '?', '?', 'Black', '.', 'Black', 'White', 'White', '.', '.', '.', '?', '?', 'Black', 'White', 'White', 'Black', 'White', '.', '.', '.', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', '.', '.', '?', '?', '.', 'Black', 'White', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', 'Black', '.', 'White', '.', 'Black', '.', '?', '?', '.', '.', '.', 'Black', '.', 'White', '.', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
24,White,68,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', 'Black', 'Black', '.', '.', '.', '.', '.', '.', '?', '?', 'Black', '.', 'Black', 'White', 'White', '.', '.', '.', '?', '?', 'Black', 'White', 'White', 'Black', 'White', '.', '.', '.', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', '.', '.', '?', '?', '.', 'Black', 'White', 'White', 'White', 'Black', '.', 'White', '?', '?', '.', '.', 'Black', '.', 'White', '.', 'White', '.', '?', '?', '.', '.', '.', 'Black', '.', 'White', '.', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
25,Black,74,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', 'Black', 'Black', '.', '.', '.', '.', '.', '.', '?', '?', 'Black', '.', 'Black', 'White', 'White', '.', '.', '.', '?', '?', 'Black', 'White', 'White', 'Black', 'White', '.', '.', '.', '?', '?', 'Black', '.', 'White', 'Black', 'White', 'White', '.', '.', '?', '?', '.', 'Black', 'White', 'Black', 'White', 'Black', '.', 'White', '?', '?', '.', '.', 'Black', 'Black', 'White', '.', 'White', '.', '?', '?', '.', '.', '.', 'Black', '.', 'White', '.', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
