turn,player,move,board,winner
10,White,42,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', '.', '?', '?', '.', 'White', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', '.', 'White', 'Black', 'Black', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'Black', 'White', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
11,Black,77,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', '.', '?', '?', '.', 'White', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', '.', 'White', 'Black', 'Black', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'Black', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
12,White,88,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', '.', '?', '?', '.', 'White', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', '.', 'White', 'Black', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'Black', 'White', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'White', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
13,Black,67,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', '.', '?', '?', '.', 'White', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', '.', 'White', 'Black', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'Black', 'Black', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'White', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
14,White,76,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', '.', '?', '?', '.', 'White', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', 'White', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', 'White', 'White', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
15,Black,87,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', '.', '?', '?', '.', 'White', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', 'White', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', 'White', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
16,White,86,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', '.', '?', '?', '.', 'White', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', 'White', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', 'White', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
17,Black,75,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', '.', '?', '?', '.', 'White', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', 'White', 'Black', '.', '?', '?', '.', '.', '.', '.', 'Black', 'Black', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
18,White,84,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', '.', '?', '?', '.', 'White', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', 'White', 'Black', '.', '?', '?', '.', '.', '.', '.', 'White', 'Black', 'Black', '.', '?', '?', '.', '.', '.', 'White', '.', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
19,Black,74,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', '.', '?', '?', '.', 'White', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', 'White', 'Black', '.', '?', '?', '.', '.', '.', 'Black', 'Black', 'Black', 'Black', '.', '?', '?', '.', '.', '.', 'White', '.', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
