turn,player,move,board,winner
0,,,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
1,Black,65,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
2,White,66,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'Black', 'White', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
3,Black,67,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'Black', 'Black', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
4,White,46,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'Black', 'Black', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
5,Black,36,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'Black', 'Black', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
6,White,77,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'Black', 'White', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'White', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
7,Black,87,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'Black', 'White', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
8,White,88,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'Black', 'White', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'White', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
9,Black,47,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', 'Black', 'Black', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'Black', 'White', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'White', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
10,White,86,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', 'Black', 'Black', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', 'Black', 'White', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'White', '.', '?', '?', '.', '.', '.', '.', '.', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
11,Black,64,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', 'Black', 'Black', '.', '?', '?', '.', '.', '.', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'Black', 'White', 'Black', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'White', '.', '?', '?', '.', '.', '.', '.', '.', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
12,White,68,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', 'Black', 'Black', '.', '?', '?', '.', '.', '.', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'Black', 'White', 'White', 'White', '?', '?', '.', '.', '.', '.', '.', '.', 'White', '.', '?', '?', '.', '.', '.', '.', '.', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
