turn,player,move,board,winner
0,,,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Lefty Black
1,Black,43,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Lefty Black
2,White,33,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Lefty Black
3,Black,23,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Lefty Black
4,White,22,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', 'White', 'Black', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', 'White', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Lefty Black
5,Black,34,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', 'White', 'Black', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'Black', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Lefty Black
6,White,13,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', 'White', '.', '.', '.', '.', '.', '?', '?', '.', 'White', 'White', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'White', 'Black', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Lefty Black
7,Black,11,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', '.', '.', '.', '.', '.', '?', '?', '.', 'Black', 'White', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Lefty Black
8,White,21,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', '.', '.', '.', '.', '.', '?', '?', 'White', 'White', 'White', '.', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Lefty Black
9,Black,31,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', '.', '.', '.', '.', '.', '?', '?', 'Black', 'White', 'White', '.', '.', '.', '.', '.', '?', '?', 'Black', '.', 'Black', 'Black', '.', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Lefty Black
