turn,player,move,board,winner
10,White,13,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', 'White', '.', '.', '.', '.', '.', '?', '?', '.', 'White', 'White', '.', '.', '.', '.', '.', '?', '?', '.', 'Black', 'White', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', '.', '.', 'White', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
11,Black,52,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', 'White', '.', '.', '.', '.', '.', '?', '?', '.', 'White', 'White', '.', '.', '.', '.', '.', '?', '?', '.', 'Black', 'White', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', 'Black', 'White', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
12,White,24,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', 'White', '.', '.', '.', '.', '.', '?', '?', '.', 'White', 'White', 'White', '.', '.', '.', '.', '?', '?', '.', 'Black', 'White', 'White', 'White', '.', '.', '.', '?', '?', '.', '.', 'Black', 'White', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
13,Black,14,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', 'White', 'Black', '.', '.', '.', '.', '?', '?', '.', 'White', 'Black', 'Black', '.', '.', '.', '.', '?', '?', '.', 'Black', 'White', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
14,White,15,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', '.', 'White', 'Black', 'White', '.', '.', '.', '.', '?', '?', '.', 'Black', 'White', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
15,Black,11,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'White', '.', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', 'Black', 'Black', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
16,White,42,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'White', '.', '.', '.', '.', '?', '?', '.', 'Black', 'White', 'Black', 'White', '.', '.', '.', '?', '?', '.', 'White', 'White', 'White', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'White', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
17,Black,66,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'White', '.', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'White', '.', '.', '.', '?', '?', '.', 'White', 'White', 'Black', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
18,White,25,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'White', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'White', 'White', '.', '.', '.', '?', '?', '.', 'White', 'White', 'Black', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
19,Black,16,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', 'Black', '.', '.', '?', '?', '.', 'Black', 'Black', 'White', 'Black', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'White', '.', '.', '.', '?', '?', '.', 'White', 'Black', 'Black', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
20,White,17,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', 'Black', 'Black', 'White', 'Black', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'White', '.', '.', '.', '?', '?', '.', 'White', 'Black', 'Black', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
